taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
9376495	Hyracodon nebrascensis (Leidy, 1850)	9200170	Rhinoceros nebraskensis (Leidy, 1850)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Perissodactyla	795	Hyracodontidae	3239477	Hyracodon	8257794	Rhinoceros nebraskensis	9200170	
10290273	BOLD:AAH9567	10290273	BOLD:AAH9567	1	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Tamias	2437422	Tamias minimus	2437432	
10298724	BOLD:ACE8785	10298724	BOLD:ACE8785	3	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Erethizontidae	5498	Erethizon	2437593	Erethizon dorsatus	6066824	
2436038	Sorex bendirii (Merriam, 1884)	2436038	Sorex bendirii (Merriam, 1884)	62	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Soricomorpha	803	Soricidae	5534	Sorex	2435935	Sorex bendirii	2436038	LC
4264270	Glaucomys sabrinus reductus Cowan, 1937	4264270	Glaucomys sabrinus reductus Cowan, 1937	16	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Glaucomys	2437330	Glaucomys sabrinus	2437331	
4264527	Thomomys talpoides bullatus Bailey, 1914	4264527	Thomomys talpoides bullatus Bailey, 1914	12	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Geomyidae	9437	Thomomys	2439381	Thomomys talpoides	2439383	
4971648	Litocherus lacunatus (Gazin, 1956)	9196451	Litolestes lacunatus (Gazin, 1956)	4	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Afrosoricida	828			Litocherus	4830866	Litolestes lacunatus	9196451	
4972247	Palaeolagus hemirhizis Korth & Hageman, 1988	4972247	Palaeolagus hemirhizis Korth & Hageman, 1988	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Lagomorpha	785	Leporidae	9379	Palaeolagus	4825761	Palaeolagus hemirhizis	4972247	
5218928	Mustela frenata altifrontalis Hall, 1936	5218928	Mustela frenata altifrontalis Hall, 1936	9	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Mustelidae	5307	Mustela	2433922	Mustela frenata	5218919	
8411230	Mammuthus Brookes, 1828	3240497	Mammut Blumenbach, 1799	6	GENUS	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Proboscidea	799	Mammutidae	3240496	Mammut	3240497			
8581399	Sorex obscurus Merriam, 1895	5219506	Cryptotis obscura (Merriam, 1895)	2	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Soricomorpha	803	Soricidae	5534	Cryptotis	2435817	Cryptotis obscura	5219506	
10596934	BOLD:AAB0010	10596934	BOLD:AAB0010	44	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Soricomorpha	803	Soricidae	5534	Sorex	2435935	Sorex hoyi	2436053	
2434634	Civettictis civetta (Schreber, 1776)	2434634	Civettictis civetta (Schreber, 1776)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Viverridae	5312	Civettictis	2434633	Civettictis civetta	2434634	LC
2441176	Bison bison (Linnaeus, 1758)	2441176	Bison bison (Linnaeus, 1758)	529	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Bovidae	9614	Bison	2441175	Bison bison	2441176	NT
4830960	Domnina Cope, 1873	4830960	Domnina Cope, 1873	3	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Soricomorpha	803	Soricidae	5534	Domnina	4830960			
8651693	Sciurus douglasii (Bachman, 1839)	2437281	Tamiasciurus douglasii (Bachman, 1839)	2	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Tamiasciurus	2437279	Tamiasciurus douglasii	2437281	
2434566	Urocyon cinereoargenteus (Schreber, 1775)	2434566	Urocyon cinereoargenteus (Schreber, 1775)	48	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Canidae	9701	Urocyon	2434558	Urocyon cinereoargenteus	2434566	LC
2436373	Pithecia pithecia (Linnaeus, 1766)	2436373	Pithecia pithecia (Linnaeus, 1766)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Pitheciidae	5486	Pithecia	2436370	Pithecia pithecia	2436373	LC
2436982	Ochotona princeps (Richardson, 1828)	2436982	Ochotona princeps (Richardson, 1828)	1437	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Lagomorpha	785	Ochotonidae	5467	Ochotona	2436951	Ochotona princeps	2436982	LC
4969940	Sthenictis dolichops Matthew, 1924	4969940	Sthenictis dolichops Matthew, 1924	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Mustelidae	5307	Sthenictis	4833718	Sthenictis dolichops	4969940	
