code,gbifname,gbifid,equal
Crocidura_raineyi,Crocidura raineyi,2435739,true
Coendou_mexicanus,Sphiggurus mexicanus,2437603,false
Bunomys_andrewsi,Bunomys andrewsi,5219846,true
Sylvisorex_granti,Sylvisorex granti,2435793,true
Thomasomys_cinnameus,Thomasomys cinnameus,4265167,true
Presbytis_hosei,Presbytis hosei,5219564,true
Crocidura_muricauda,Crocidura muricauda,2435682,true
Artibeus_inopinatus,Artibeus inopinatus,2433269,true
Ctenomys_validus,Ctenomys validus,2439612,true
Akodon_mystax,Akodon mystax,4265089,true
Sturnira_angeli,Sturnira angeli,7843785,true
Rattus_nitidus,Rattus nitidus,2439234,true
Lepus_capensis,Lepus capensis,2436736,true
Myotis_frater,Myotis frater,2432428,true
Sorex_sclateri,Sorex sclateri,2435988,true
Sylvisorex_lunaris,Sylvisorex lunaris,2435802,true
Martes_pennanti,Pekania pennanti,8631083,false
Bubalus_depressicornis,Bubalus depressicornis,8085503,true
Trachypithecus_obscurus,Trachypithecus obscurus,2436535,true
Phodopus_sungorus,Phodopus sungorus,2437845,true
Nesophontes_hypomicrus,Nesophontes hypomicrus,2435484,true
Lepus_flavigularis,Lepus flavigularis,2436717,true
Crocidura_zimmermanni,Crocidura zimmermanni,2435665,true
Lasiurus_egregius,Lasiurus egregius,5218547,true
Rhipidomys_macrurus,Rhipidomys macrurus,5706772,true
Chlorocebus_tantalus,Chlorocebus tantalus,7262032,true
Pseudomys_bolami,Pseudomys bolami,5219784,true
Crocidura_jenkinsi,Crocidura jenkinsi,2435640,true
Platyrrhinus_guianensis,Platyrrhinus guianensis,7423095,true
Chionomys_nivalis,Chionomys nivalis,2438162,true
Pteropus_admiralitatum,Pteropus admiralitatum,5218676,true
Orthogeomys_matagalpae,Orthogeomys matagalpae,2439405,true
Elephas_cypriotes,Elephas cypriotes,8626575,true
Myosorex_okuensis,Myosorex okuensis,2435927,true
Hypogeomys_antimena,Hypogeomys antimena,2438545,true
Myotis_leibii,Myotis leibii,2432455,true
Calcochloris_tytonis,Calcochloris tytonis,2432184,true
Hipposideros_pratti,Hipposideros pratti,5218579,true
Nyctimene_major,Nyctimene major,5218633,true
Platanista_gangetica,Platanista gangetica,2440764,true
Atlantoxerus_getulus,Atlantoxerus getulus,2437470,true
Otomys_barbouri,Otomys barbouri,5706737,true
Macroscelides_micus,Macroscelides micus,8883434,true
Microtus_tatricus,Microtus tatricus,2438637,true
Gerbilliscus_afra,Gerbilliscus afra,4264940,true
Sciurillus_pusillus,Sciurillus pusillus,9195979,true
Chalinolobus_dwyeri,Chalinolobus dwyeri,2432283,true
Paradoxurus_zeylonensis,Paradoxurus zeylonensis,2434704,true
Crocidura_levicula,Crocidura levicula,2435709,true
Hipposideros_commersoni,Macronycteris commersonii,10810698,false
Kogia_breviceps,Kogia breviceps,2440694,true
Moschus_anhuiensis,Moschus anhuiensis,4262221,true
Myotis_tricolor,Myotis tricolor,2432405,true
Sminthopsis_macroura,Sminthopsis macroura,2435402,true
Podomys_floridanus,Podomys floridanus,2438245,true
Herpestes_urva,Herpestes urva,2434244,true
Akodon_sanctipaulensis,Akodon sanctipaulensis,2437885,true
Cryptotis_medellinia,Cryptotis medellinia,5219487,true
Myotis_albescens,Myotis albescens,2432424,true
