from,to,score_normal,score,pair,int
Gulo gulo,Dicrostonyx richardsoni,0.8525,1.0,false,false
Gulo gulo,Lemmiscus curtatus,0.8303,1.0,false,false
Gulo gulo,Lemmus trimucronatus,0.9251,1.0,false,false
Gulo gulo,Microtus chrotorrhinus,0.83985,1.0,false,false
Gulo gulo,Microtus longicaudus,0.93505,1.0,false,false
Gulo gulo,Microtus miurus,0.9491,1.0,false,false
Gulo gulo,Microtus montanus,0.8452,1.0,false,false
Gulo gulo,Microtus ochrogaster,0.82115,1.0,false,false
Gulo gulo,Microtus oeconomus,0.88905,1.0,true,true
Gulo gulo,Microtus oregoni,0.84735,1.0,false,false
Gulo gulo,Microtus pennsylvanicus,0.7859,1.0,false,false
Gulo gulo,Microtus pinetorum,0.935,1.0,false,false
Gulo gulo,Microtus richardsoni,0.9168,1.0,false,false
Gulo gulo,Microtus townsendii,0.9609,1.0,false,false
Gulo gulo,Microtus xanthognathus,0.8444,1.0,false,false
Gulo gulo,Mus musculus,0.7786,1.0,true,false
Gulo gulo,Myodes gapperi,0.8945,1.0,false,false
Gulo gulo,Myodes rutilus,0.8225,1.0,true,true
Gulo gulo,Ondatra zibethicus,0.85555,1.0,false,false
Gulo gulo,Phenacomys intermedius,0.851,1.0,false,false
Gulo gulo,Phenacomys ungava,0.83835,1.0,false,false
Gulo gulo,Sorex arcticus,0.88475,1.0,false,false
Gulo gulo,Sorex haydeni,0.79295,1.0,false,false
Gulo gulo,Sorex hoyi,0.91095,1.0,false,false
Gulo gulo,Sorex maritimensis,0.9374,1.0,false,false
Gulo gulo,Sorex merriami,0.84275,1.0,false,false
Gulo gulo,Sorex trowbridgii,0.86295,1.0,false,false
Gulo gulo,Sorex tundrensis,0.85225,1.0,true,true
Gulo gulo,Synaptomys borealis,0.87335,1.0,false,false
Gulo gulo,Synaptomys cooperi,0.8113,1.0,false,false
Lontra canadensis,Dicrostonyx hudsonius,0.765,1.0,false,false
Lontra canadensis,Lemmiscus curtatus,0.7784,1.0,false,false
Lontra canadensis,Lemmus trimucronatus,0.89845,1.0,false,false
Lontra canadensis,Microtus chrotorrhinus,0.78095,1.0,false,false
Lontra canadensis,Microtus longicaudus,0.89755,1.0,false,false
Lontra canadensis,Microtus miurus,0.923,1.0,false,false
Lontra canadensis,Microtus ochrogaster,0.7702,1.0,false,false
Lontra canadensis,Microtus oeconomus,0.8709,1.0,false,false
Lontra canadensis,Microtus pinetorum,0.88645,1.0,false,false
Lontra canadensis,Microtus richardsoni,0.8541,1.0,false,false
Lontra canadensis,Microtus townsendii,0.94665,1.0,false,false
Lontra canadensis,Microtus xanthognathus,0.79665,1.0,false,false
Lontra canadensis,Mus musculus,0.743,1.0,false,false
Lontra canadensis,Myodes gapperi,0.8245,1.0,false,false
Lontra canadensis,Myodes rutilus,0.7646,1.0,false,false
Lontra canadensis,Ondatra zibethicus,0.81935,1.0,false,false
Lontra canadensis,Phenacomys intermedius,0.7944,1.0,false,false
Lontra canadensis,Phenacomys ungava,0.7856,1.0,false,false
Lontra canadensis,Sorex arcticus,0.8752,1.0,false,false
Lontra canadensis,Sorex haydeni,0.77845,1.0,false,false
Lontra canadensis,Sorex hoyi,0.85595,1.0,false,false
Lontra canadensis,Sorex maritimensis,0.9279,1.0,false,false
Lontra canadensis,Sorex merriami,0.80965,1.0,false,false
Lontra canadensis,Sorex tundrensis,0.80445,1.0,false,false
Lontra canadensis,Synaptomys borealis,0.84665,1.0,false,false
Lontra canadensis,Synaptomys cooperi,0.79095,1.0,false,false
Lynx canadensis,Microtus montanus,0.789,1.0,false,false
Lynx canadensis,Microtus oregoni,0.8487,1.0,false,false
Lynx canadensis,Microtus pennsylvanicus,0.7372,1.0,false,false
Lynx canadensis,Microtus townsendii,0.8566,1.0,false,false
Lynx rufus,Microtus miurus,0.76405,1.0,false,false
Lynx rufus,Microtus oeconomus,0.7875,1.0,false,false
Lynx rufus,Microtus oregoni,0.85245,1.0,false,false
Lynx rufus,Microtus townsendii,0.964,1.0,false,false
Lynx rufus,Sorex trowbridgii,0.8452,1.0,false,false
Lynx rufus,Tamiasciurus douglasii,0.7532,1.0,false,false
Martes americana,Dicrostonyx groenlandicus,0.8204,1.0,false,false
Martes americana,Dicrostonyx hudsonius,0.8421,1.0,false,false
